device_type,hour,current_watts,avg_watts,rolling_avg,volatility,trend,label
Laptop,11,68.91,65,68.91,1.3,-3.11,0
Calefactor,10,1365.35,1500,1365.35,30.0,-2.74,0
Lavadora,23,544.59,500,544.59,10.0,4.31,0
Secadora,13,2500.0,2500,2500.0,50.0,0.0,0
Televisor,7,120.33,120,120.33,2.4,-0.82,0
Horno,5,2334.08,2200,2334.08,44.0,0.77,0
Microondas,21,1058.17,1000,1058.17,20.0,1.79,0
Laptop,4,61.2,65,61.2,1.3,4.96,0
Secadora,1,2555.48,2500,2555.48,50.0,-3.81,0
Router,15,10.89,12,10.89,0.24,-4.04,0
Mini Refrigerador,7,76.03,80,76.03,1.6,-2.79,0
Televisor,7,600.0,120,120.0,2.4,0.0,18
Mini Refrigerador,20,76.44,80,76.44,1.6,-0.05,0
Refrigerador,6,144.6,150,144.6,3.0,3.32,0
Mini Refrigerador,1,78.12,80,78.12,1.6,-4.19,0
Computadora,17,50.67,300,50.67,6.0,1.15,0
Aire Acondicionado,1,1255.18,1200,1255.18,24.0,1.37,0
Laptop,7,65.0,65,65.0,1.3,0.0,0
Luces,16,56.02,60,56.02,1.2,-3.44,0
Computadora,11,61.29,300,61.29,6.0,-1.72,0
Horno,21,2147.48,2200,2147.48,44.0,-3.7,0
Refrigerador,20,158.26,150,158.26,3.0,-0.51,0
Computadora,23,360.0,300,300.0,0.1,0.0,7
Refrigerador,20,148.85,150,148.85,3.0,-2.01,0
Luces,14,300.0,60,60.0,1.2,0.0,18
Lavadora,11,451.04,500,451.04,10.0,-0.46,0
Router,1,12.0,12,12.0,0.24,0.0,0
Horno,7,2344.15,2200,2344.15,44.0,4.24,0
Microondas,21,5000.0,1000,1000.0,20.0,0.0,18
Calefactor,9,1463.09,1500,1463.09,30.0,-3.75,0
Luces,4,60.0,60,60.0,1.2,0.0,0
Aire Acondicionado,3,1274.29,1200,1274.29,24.0,2.08,0
Mini Refrigerador,13,75.18,80,75.18,1.6,0.56,0
Mini Refrigerador,16,87.77,80,87.77,1.6,-2.12,0
Mini Refrigerador,6,80.0,80,80.0,1.6,0.0,0
Laptop,22,67.55,65,67.55,1.3,3.6,0
Router,2,11.78,12,11.78,0.24,1.2,0
Microondas,16,1000.0,1000,1000.0,20.0,0.0,0
Televisor,18,120.0,120,120.0,2.4,0.0,0
Laptop,20,69.96,65,69.96,1.3,4.39,0
Laptop,23,66.82,65,66.82,1.3,1.54,0
Horno,2,2200.0,2200,2200.0,44.0,0.0,0
Secadora,16,2500.0,2500,2500.0,50.0,0.0,0
Router,6,11.01,12,11.01,0.24,-1.12,0
Lavadora,2,502.62,500,502.62,10.0,0.26,0
Aire Acondicionado,19,1083.2,1200,1083.2,24.0,0.99,0
Calefactor,16,1500.0,1500,1500.0,30.0,0.0,0
Mini Refrigerador,20,80.0,80,80.0,1.6,0.0,0
Aire Acondicionado,16,1158.51,1200,1158.51,24.0,4.32,0
Televisor,3,3.0,120,3.0,2.4,1.96,0
Calefactor,11,1457.51,1500,1457.51,30.0,1.34,0
Secadora,9,2266.86,2500,2266.86,50.0,-4.27,0
Aire Acondicionado,15,2005.15,1200,2005.15,24.0,-0.45,4
Refrigerador,13,151.52,150,151.52,3.0,-2.71,0
Luces,2,60.0,60,60.0,1.2,0.0,0
Luces,20,58.26,60,58.26,1.2,1.68,0
Mini Refrigerador,1,84.62,80,84.62,1.6,0.51,0
Aire Acondicionado,18,1870.61,1200,1870.61,24.0,0.12,4
Calefactor,9,1358.73,1500,1358.73,30.0,1.16,0
Aire Acondicionado,12,1800.0,1200,1200.0,24.0,40.0,3
Televisor,6,3.0,120,3.0,2.4,1.39,0
Calefactor,15,1500.0,1500,1500.0,30.0,0.0,0
Lavadora,6,498.03,500,498.03,10.0,-0.85,0
Refrigerador,4,240.0,150,150.0,3.0,0.0,1
Router,16,11.7,12,11.7,0.24,0.1,0
Router,12,11.37,12,11.37,0.24,-4.28,0
Calefactor,16,1500.0,1500,1500.0,30.0,0.0,0
Laptop,11,59.15,65,59.15,1.3,4.92,0
Horno,7,2266.24,2200,2266.24,44.0,0.85,0
Mini Refrigerador,18,80.0,80,80.0,1.6,0.0,0
Mini Refrigerador,6,77.97,80,77.97,1.6,-3.2,0
Microondas,12,955.57,1000,955.57,20.0,3.91,0
Laptop,6,64.97,65,64.97,1.3,-3.17,0
Mini Refrigerador,19,80.0,80,80.0,1.6,0.0,0
Refrigerador,4,158.43,150,158.43,3.0,-0.19,0
Horno,4,2195.18,2200,2195.18,44.0,4.86,0
Computadora,8,360.0,300,300.0,0.1,0.0,7
Luces,4,60.0,60,60.0,1.2,0.0,0
Microondas,16,956.38,1000,956.38,20.0,-3.14,0
Router,2,11.68,12,11.68,0.24,1.3,0
Luces,15,55.58,60,55.58,1.2,1.38,0
Televisor,20,125.83,120,125.83,2.4,3.83,0
Computadora,2,3.0,300,3.0,6.0,1.2,0
Aire Acondicionado,21,1808.14,1200,1808.14,24.0,-1.38,4
Mini Refrigerador,10,400.0,80,80.0,1.6,0.0,18
Horno,23,2091.05,2200,2091.05,44.0,-3.33,0
Router,10,60.0,12,12.0,0.24,0.0,18
Refrigerador,3,240.0,150,150.0,3.0,0.0,1
Televisor,12,120.0,120,120.0,2.4,0.0,0
Televisor,16,109.26,120,109.26,2.4,-0.08,0
Router,8,12.83,12,12.83,0.24,2.25,0
Lavadora,23,519.45,500,519.45,10.0,2.47,0
Microondas,18,1048.88,1000,1048.88,20.0,-0.19,0
Laptop,15,65.0,65,65.0,1.3,0.0,0
Secadora,3,2500.0,2500,2500.0,50.0,0.0,0
Calefactor,20,1550.4,1500,1550.4,30.0,1.03,0
Luces,9,59.76,60,59.76,1.2,-2.64,0
Luces,2,64.31,60,64.31,1.2,3.69,0
Horno,15,2200.0,2200,2200.0,44.0,0.0,0
Mini Refrigerador,22,83.4,80,83.4,1.6,-0.18,0
Mini Refrigerador,3,80.0,80,80.0,1.6,0.0,0
Computadora,16,295.84,300,295.84,6.0,-3.76,0
Lavadora,14,500.0,500,500.0,10.0,0.0,0
Lavadora,7,2500.0,500,500.0,10.0,0.0,18
Computadora,2,360.0,300,300.0,0.1,0.0,7
Mini Refrigerador,16,80.01,80,80.01,1.6,4.67,0
Router,13,12.0,12,12.0,0.24,0.0,0
Router,21,13.2,12,13.2,0.24,0.55,0
Secadora,20,2734.09,2500,2734.09,50.0,-3.3,0
Laptop,4,61.9,65,61.9,1.3,-4.43,0
Mini Refrigerador,3,80.0,80,80.0,1.6,0.0,0
Computadora,12,296.94,300,296.94,6.0,-4.57,0
Televisor,0,120.0,120,120.0,2.4,0.0,0
Mini Refrigerador,21,78.11,80,78.11,1.6,-2.17,0
Lavadora,17,531.73,500,531.73,10.0,3.59,0
Secadora,4,2500.0,2500,2500.0,50.0,0.0,0
Microondas,8,1072.35,1000,1072.35,20.0,-4.47,0
Laptop,13,65.0,65,65.0,1.3,0.0,0
Secadora,14,2400.97,2500,2400.97,50.0,3.08,0
Secadora,3,2429.43,2500,2429.43,50.0,3.64,0
Router,21,13.12,12,13.12,0.24,3.25,0
Horno,1,2108.21,2200,2108.21,44.0,3.83,0
Aire Acondicionado,23,1740.6,1200,1740.6,24.0,-0.02,4
Luces,7,59.04,60,59.04,1.2,2.71,0
Computadora,4,3.0,300,3.0,6.0,-0.95,0
Horno,20,2191.27,2200,2191.27,44.0,4.66,0
Horno,0,2174.44,2200,2174.44,44.0,3.48,0
Router,1,12.59,12,12.59,0.24,1.08,0
Lavadora,22,483.02,500,483.02,10.0,-0.08,0
Mini Refrigerador,23,80.0,80,80.0,1.6,0.0,0
Luces,12,54.67,60,54.67,1.2,-1.73,0
Aire Acondicionado,15,1152.87,1200,1152.87,24.0,-3.83,0
Horno,1,2336.76,2200,2336.76,44.0,-0.19,0
Mini Refrigerador,5,83.19,80,83.19,1.6,4.14,0
Calefactor,16,1500.0,1500,1500.0,30.0,0.0,0
Aire Acondicionado,9,1800.0,1200,1200.0,24.0,40.0,3
Laptop,22,65.0,65,65.0,1.3,0.0,0
Secadora,11,2500.0,2500,2500.0,50.0,0.0,0
Secadora,19,2425.56,2500,2425.56,50.0,3.03,0
Router,16,12.65,12,12.65,0.24,-0.79,0
Calefactor,20,1584.89,1500,1584.89,30.0,-4.43,0
Lavadora,22,510.77,500,510.77,10.0,-0.87,0
Aire Acondicionado,21,1250.97,1200,1250.97,24.0,1.58,0
Microondas,9,1049.93,1000,1049.93,20.0,-0.79,0
Calefactor,13,1385.9,1500,1385.9,30.0,1.57,0
Aire Acondicionado,17,1970.2,1200,1970.2,24.0,1.18,4
Luces,5,62.32,60,62.32,1.2,-0.9,0
Horno,11,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,13,2500.0,500,500.0,10.0,0.0,18
Router,10,10.86,12,10.86,0.24,-2.7,0
Router,1,12.0,12,12.0,0.24,0.0,0
Horno,4,2046.5,2200,2046.5,44.0,-2.34,0
Mini Refrigerador,12,80.92,80,80.92,1.6,3.68,0
Computadora,13,360.0,300,300.0,0.1,0.0,7
Router,17,12.45,12,12.45,0.24,-2.38,0
Secadora,11,2727.7,2500,2727.7,50.0,1.85,0
Televisor,19,126.1,120,126.1,2.4,0.77,0
Aire Acondicionado,9,1311.81,1200,1311.81,24.0,-3.39,0
Computadora,19,274.16,300,274.16,6.0,-2.41,0
Secadora,0,2310.05,2500,2310.05,50.0,-1.12,0
Luces,15,55.98,60,55.98,1.2,-3.32,0
Refrigerador,14,162.67,150,162.67,3.0,3.53,0
Computadora,1,3.0,300,3.0,6.0,-1.36,0
Mini Refrigerador,9,87.22,80,87.22,1.6,4.57,0
Mini Refrigerador,0,73.23,80,73.23,1.6,3.22,0
Televisor,1,3.0,120,3.0,2.4,2.79,0
Router,16,11.64,12,11.64,0.24,4.46,0
Refrigerador,17,240.0,150,150.0,3.0,0.0,1
Calefactor,11,1500.0,1500,1500.0,30.0,0.0,0
Laptop,21,65.0,65,65.0,1.3,0.0,0
Computadora,16,58.41,300,58.41,6.0,2.59,0
Horno,23,2173.11,2200,2173.11,44.0,2.73,0
Lavadora,9,500.0,500,500.0,10.0,0.0,0
Calefactor,13,1380.4,1500,1380.4,30.0,4.07,0
Refrigerador,9,138.83,150,138.83,3.0,-4.33,0
Calefactor,9,7500.0,1500,1500.0,30.0,0.0,18
Refrigerador,8,160.83,150,160.83,3.0,-0.53,0
Microondas,22,963.47,1000,963.47,20.0,-3.18,0
Computadora,6,3.0,300,3.0,6.0,1.04,0
Luces,7,60.78,60,60.78,1.2,2.45,0
Luces,17,65.79,60,65.79,1.2,-1.36,0
Laptop,7,325.0,65,65.0,1.3,0.0,18
Router,18,11.54,12,11.54,0.24,2.09,0
Calefactor,16,1500.0,1500,1500.0,30.0,0.0,0
Mini Refrigerador,0,74.1,80,74.1,1.6,-0.99,0
Computadora,11,300.0,300,300.0,6.0,0.0,0
Lavadora,16,508.67,500,508.67,10.0,2.05,0
Calefactor,6,1500.0,1500,1500.0,30.0,0.0,0
Router,19,12.95,12,12.95,0.24,-2.71,0
Calefactor,21,1429.4,1500,1429.4,30.0,-1.0,0
Laptop,9,61.48,65,61.48,1.3,4.36,0
Computadora,1,300.0,300,300.0,6.0,0.0,17
Aire Acondicionado,17,1293.82,1200,1293.82,24.0,-3.17,0
Luces,2,300.0,60,60.0,1.2,0.0,18
Microondas,6,952.09,1000,952.09,20.0,-2.2,0
Computadora,21,56.27,300,56.27,6.0,-1.47,0
Laptop,20,64.27,65,64.27,1.3,-4.86,0
Calefactor,21,1500.0,1500,1500.0,30.0,0.0,0
Aire Acondicionado,3,1109.67,1200,1109.67,24.0,-0.74,0
Horno,19,2244.23,2200,2244.23,44.0,-2.0,0
Mini Refrigerador,2,400.0,80,80.0,1.6,0.0,18
Laptop,23,68.21,65,68.21,1.3,-0.89,0
Mini Refrigerador,0,80.69,80,80.69,1.6,0.48,0
Mini Refrigerador,2,80.0,80,80.0,1.6,0.0,0
Aire Acondicionado,15,1157.76,1200,1157.76,24.0,1.66,0
Laptop,8,71.35,65,71.35,1.3,1.37,0
Router,19,12.0,12,12.0,0.24,0.0,0
Horno,2,1991.56,2200,1991.56,44.0,-0.51,0
Horno,18,2096.7,2200,2096.7,44.0,1.89,0
Luces,13,60.0,60,60.0,1.2,0.0,0
Lavadora,8,500.0,500,500.0,10.0,0.0,0
Lavadora,12,484.13,500,484.13,10.0,-0.32,0
Refrigerador,11,240.0,150,150.0,3.0,0.0,1
Computadora,0,300.0,300,300.0,6.0,0.0,0
Mini Refrigerador,11,400.0,80,80.0,1.6,0.0,18
Secadora,19,2500.0,2500,2500.0,50.0,0.0,0
Televisor,1,120.0,120,120.0,2.4,0.0,0
Secadora,0,2515.02,2500,2515.02,50.0,-2.77,0
Microondas,15,975.13,1000,975.13,20.0,1.47,0
Horno,18,2140.99,2200,2140.99,44.0,0.01,0
Calefactor,20,1500.0,1500,1500.0,30.0,0.0,0
Secadora,13,2500.0,2500,2500.0,50.0,0.0,0
Aire Acondicionado,3,1278.03,1200,1278.03,24.0,4.39,0
Secadora,11,2278.22,2500,2278.22,50.0,-2.07,0
Aire Acondicionado,20,1605.17,1200,1605.17,24.0,0.11,4
Laptop,14,61.72,65,61.72,1.3,2.1,0
Luces,5,60.0,60,60.0,1.2,0.0,0
Laptop,11,60.77,65,60.77,1.3,3.47,0
Secadora,17,2500.0,2500,2500.0,50.0,0.0,0
Calefactor,13,1413.95,1500,1413.95,30.0,3.97,0
Calefactor,12,1400.01,1500,1400.01,30.0,-4.53,0
Televisor,6,3.0,120,3.0,2.4,0.78,0
Computadora,11,300.0,300,300.0,6.0,0.0,0
Luces,20,58.35,60,58.35,1.2,2.99,0
Aire Acondicionado,19,1253.38,1200,1253.38,24.0,2.67,0
Luces,4,60.0,60,60.0,1.2,0.0,0
Luces,10,56.28,60,56.28,1.2,-1.32,0
Horno,9,2028.2,2200,2028.2,44.0,3.51,0
Secadora,22,2263.39,2500,2263.39,50.0,1.42,0
Aire Acondicionado,16,1962.78,1200,1962.78,24.0,-1.22,4
Microondas,13,1000.0,1000,1000.0,20.0,0.0,0
Calefactor,23,1500.0,1500,1500.0,30.0,0.0,0
Router,10,12.0,12,12.0,0.24,0.0,0
Lavadora,13,500.0,500,500.0,10.0,0.0,0
Microondas,23,994.1,1000,994.1,20.0,-3.21,0
Secadora,20,2647.24,2500,2647.24,50.0,4.75,0
Calefactor,12,1500.0,1500,1500.0,30.0,0.0,0
Router,5,12.0,12,12.0,0.24,0.0,0
Televisor,23,120.0,120,120.0,2.4,0.0,0
Horno,10,2050.41,2200,2050.41,44.0,1.37,0
Secadora,20,2322.18,2500,2322.18,50.0,0.15,0
Calefactor,21,1569.93,1500,1569.93,30.0,1.05,0
Mini Refrigerador,9,80.0,80,80.0,1.6,0.0,0
Laptop,5,65.0,65,65.0,1.3,0.0,0
Aire Acondicionado,18,1263.5,1200,1263.5,24.0,-5.0,0
Mini Refrigerador,10,81.94,80,81.94,1.6,-0.26,0
Horno,4,2200.0,2200,2200.0,44.0,0.0,0
Computadora,7,68.9,300,68.9,6.0,-1.17,0
Mini Refrigerador,10,80.0,80,80.0,1.6,0.0,0
Computadora,15,84.19,300,84.19,6.0,4.82,0
Microondas,21,1000.0,1000,1000.0,20.0,0.0,0
Router,7,11.52,12,11.52,0.24,-0.46,0
Calefactor,11,1425.68,1500,1425.68,30.0,0.26,0
Calefactor,19,1491.91,1500,1491.91,30.0,2.56,0
Microondas,6,1000.0,1000,1000.0,20.0,0.0,0
Luces,14,56.58,60,56.58,1.2,-1.19,0
Computadora,18,281.54,300,281.54,6.0,0.99,0
Refrigerador,3,153.29,150,153.29,3.0,-1.83,0
Televisor,17,108.62,120,108.62,2.4,-2.8,0
Microondas,22,1032.54,1000,1032.54,20.0,-1.82,0
Refrigerador,17,142.86,150,142.86,3.0,-4.42,0
Aire Acondicionado,11,1203.01,1200,1203.01,24.0,2.03,0
Aire Acondicionado,13,1199.84,1200,1199.84,24.0,3.23,0
Televisor,21,123.66,120,123.66,2.4,-0.95,0
Luces,6,59.48,60,59.48,1.2,-4.69,0
Televisor,0,111.79,120,111.79,2.4,3.43,0
Calefactor,7,1585.1,1500,1585.1,30.0,-4.61,0
Lavadora,1,2500.0,500,500.0,10.0,0.0,18
Laptop,16,65.0,65,65.0,1.3,0.0,0
Calefactor,9,1500.0,1500,1500.0,30.0,0.0,0
Luces,2,60.0,60,60.0,1.2,0.0,0
Secadora,10,2500.0,2500,2500.0,50.0,0.0,0
Computadora,2,300.0,300,300.0,6.0,0.0,17
Mini Refrigerador,14,74.22,80,74.22,1.6,-0.21,0
Mini Refrigerador,2,80.26,80,80.26,1.6,3.22,0
Router,22,11.23,12,11.23,0.24,-3.27,0
Aire Acondicionado,10,1154.9,1200,1154.9,24.0,-3.86,0
Laptop,9,66.63,65,66.63,1.3,1.39,0
Computadora,17,328.94,300,328.94,6.0,1.04,0
Mini Refrigerador,9,80.0,80,80.0,1.6,0.0,0
Horno,4,2200.0,2200,2200.0,44.0,0.0,0
Lavadora,9,473.51,500,473.51,10.0,2.08,0
Refrigerador,10,151.15,150,151.15,3.0,-1.38,0
Computadora,8,279.91,300,279.91,6.0,-3.23,0
Lavadora,4,500.0,500,500.0,10.0,0.0,0
Mini Refrigerador,22,81.43,80,81.43,1.6,-2.04,0
Secadora,19,2701.56,2500,2701.56,50.0,-3.15,0
Horno,11,2200.0,2200,2200.0,44.0,0.0,0
Aire Acondicionado,4,2151.92,1200,2151.92,24.0,-0.03,4
Lavadora,13,500.0,500,500.0,10.0,0.0,0
Mini Refrigerador,7,82.98,80,82.98,1.6,3.95,0
Televisor,8,120.0,120,120.0,2.4,0.0,0
Luces,9,55.22,60,55.22,1.2,-1.97,0
Lavadora,4,488.9,500,488.9,10.0,4.05,0
Refrigerador,6,154.79,150,154.79,3.0,-4.98,0
Laptop,17,65.0,65,65.0,1.3,0.0,0
Lavadora,4,549.28,500,549.28,10.0,3.47,0
Mini Refrigerador,13,79.17,80,79.17,1.6,0.7,0
Mini Refrigerador,1,78.46,80,78.46,1.6,-2.99,0
Horno,13,2085.32,2200,2085.32,44.0,1.27,0
Router,11,11.3,12,11.3,0.24,1.28,0
Calefactor,2,1474.24,1500,1474.24,30.0,-3.37,0
Luces,21,59.28,60,59.28,1.2,-3.86,0
Microondas,2,1000.0,1000,1000.0,20.0,0.0,0
Lavadora,11,500.0,500,500.0,10.0,0.0,0
Mini Refrigerador,23,80.0,80,80.0,1.6,0.0,0
Lavadora,12,532.71,500,532.71,10.0,-4.66,0
Mini Refrigerador,14,87.57,80,87.57,1.6,2.87,0
Luces,10,60.0,60,60.0,1.2,0.0,0
Aire Acondicionado,20,1267.11,1200,1267.11,24.0,1.05,0
Laptop,19,62.98,65,62.98,1.3,0.05,0
Aire Acondicionado,22,1146.07,1200,1146.07,24.0,2.4,0
Secadora,0,2500.0,2500,2500.0,50.0,0.0,0
Horno,0,2147.17,2200,2147.17,44.0,4.69,0
Computadora,17,318.24,300,318.24,6.0,-0.7,0
Refrigerador,0,240.0,150,150.0,3.0,0.0,1
Secadora,17,2351.18,2500,2351.18,50.0,3.59,0
Aire Acondicionado,18,2121.34,1200,2121.34,24.0,-0.23,4
Televisor,18,120.0,120,120.0,2.4,0.0,0
Refrigerador,1,143.89,150,143.89,3.0,2.95,0
Microondas,2,924.59,1000,924.59,20.0,-0.78,0
Calefactor,17,1375.91,1500,1375.91,30.0,0.79,0
Mini Refrigerador,17,87.24,80,87.24,1.6,-2.93,0
Luces,14,60.0,60,60.0,1.2,0.0,0
Horno,6,2076.93,2200,2076.93,44.0,4.1,0
Lavadora,18,530.31,500,530.31,10.0,0.39,0
Aire Acondicionado,14,1830.1,1200,1830.1,24.0,1.32,4
Refrigerador,17,240.0,150,150.0,3.0,0.0,1
Calefactor,2,1575.49,1500,1575.49,30.0,1.53,0
Secadora,23,2500.0,2500,2500.0,50.0,0.0,0
Laptop,22,70.67,65,70.67,1.3,-3.25,0
Router,16,60.0,12,12.0,0.24,0.0,18
Router,4,12.16,12,12.16,0.24,-2.27,0
Refrigerador,7,240.0,150,150.0,3.0,0.0,1
Mini Refrigerador,15,400.0,80,80.0,1.6,0.0,18
Aire Acondicionado,2,1164.84,1200,1164.84,24.0,3.19,0
Laptop,9,68.94,65,68.94,1.3,0.6,0
Mini Refrigerador,4,82.67,80,82.67,1.6,-4.34,0
Calefactor,6,1500.0,1500,1500.0,30.0,0.0,0
Router,5,11.06,12,11.06,0.24,3.68,0
Horno,23,2096.22,2200,2096.22,44.0,3.08,0
Calefactor,7,1500.0,1500,1500.0,30.0,0.0,0
Aire Acondicionado,9,1800.0,1200,1200.0,24.0,40.0,3
Microondas,12,999.57,1000,999.57,20.0,-4.13,0
Router,3,12.0,12,12.0,0.24,0.0,0
Horno,10,2200.0,2200,2200.0,44.0,0.0,0
Mini Refrigerador,6,73.92,80,73.92,1.6,3.69,0
Laptop,15,69.92,65,69.92,1.3,4.34,0
Router,6,11.06,12,11.06,0.24,-2.67,0
Microondas,2,1043.79,1000,1043.79,20.0,2.23,0
Horno,9,1993.64,2200,1993.64,44.0,-2.93,0
Mini Refrigerador,0,80.0,80,80.0,1.6,0.0,0
Aire Acondicionado,7,1161.8,1200,1161.8,24.0,-4.73,0
Calefactor,8,1356.98,1500,1356.98,30.0,0.6,0
Router,19,12.29,12,12.29,0.24,-1.69,0
Microondas,3,1000.0,1000,1000.0,20.0,0.0,0
Computadora,2,3.0,300,3.0,6.0,-2.13,0
Computadora,18,360.0,300,300.0,0.1,0.0,7
Lavadora,13,500.0,500,500.0,10.0,0.0,0
Televisor,10,126.58,120,126.58,2.4,3.08,0
Horno,5,2047.08,2200,2047.08,44.0,-1.06,0
Mini Refrigerador,11,74.78,80,74.78,1.6,-4.36,0
Calefactor,2,1500.0,1500,1500.0,30.0,0.0,0
Luces,4,54.24,60,54.24,1.2,-2.29,0
Microondas,10,1005.54,1000,1005.54,20.0,-2.55,0
Refrigerador,8,240.0,150,150.0,3.0,0.0,1
Computadora,16,52.46,300,52.46,6.0,0.15,0
Secadora,10,2572.16,2500,2572.16,50.0,-3.58,0
Computadora,13,300.76,300,300.76,6.0,-1.34,0
Computadora,13,360.0,300,300.0,0.1,0.0,7
Lavadora,15,2500.0,500,500.0,10.0,0.0,18
Televisor,5,600.0,120,120.0,2.4,0.0,18
Refrigerador,2,161.21,150,161.21,3.0,-2.29,0
Laptop,23,64.84,65,64.84,1.3,1.92,0
Lavadora,18,469.26,500,469.26,10.0,0.22,0
Lavadora,5,500.0,500,500.0,10.0,0.0,0
Microondas,13,981.19,1000,981.19,20.0,-3.47,0
Aire Acondicionado,22,1800.0,1200,1200.0,24.0,40.0,3
Calefactor,9,1355.69,1500,1355.69,30.0,0.41,0
Laptop,7,68.18,65,68.18,1.3,-2.21,0
